mitre_id,name,tactic,description,url
T1565,Data Manipulation,Impact,"Adversaries may insert, delete, or manipulate data in order to influence external outcomes or hide activity, thus threatening the integrity of the data.(Citation: Sygnia Elephant Beetle Jan 2022) By manipulating data,...",https://attack.mitre.org/techniques/T1565
T1559,Inter-Process Communication,Execution,"Adversaries may abuse inter-process communication (IPC) mechanisms for local code or command execution. IPC is typically used by processes to share data, communicate with each other, or synchronize execution. IPC is a...",https://attack.mitre.org/techniques/T1559
T1001,Data Obfuscation,Command And Control,Adversaries may obfuscate command and control traffic to make it more difficult to detect.(Citation: Bitdefender FunnyDream Campaign November 2020) Command and control (C2) communications are hidden (but not necessari...,https://attack.mitre.org/techniques/T1001
T1039,Data from Network Shared Drive,Collection,"Adversaries may search network shares on computers they have compromised to find files of interest. Sensitive data can be collected from remote systems via shared network drives (host shared directory, network file se...",https://attack.mitre.org/techniques/T1039
T1584.006,Web Services,Resource Development,"Adversaries may compromise access to third-party web services that can be used during targeting. A variety of popular websites exist for legitimate users to register for web-based services, such as GitHub, Twitter, Dr...",https://attack.mitre.org/techniques/T1584/006
T1601,Modify System Image,Defense Impairment,"Adversaries may make changes to the operating system of embedded network devices to weaken defenses and provide new capabilities for themselves.  On such devices, the operating systems are typically monolithic and mos...",https://attack.mitre.org/techniques/T1601
T1574,Hijack Execution Flow,Stealth|Execution,"Adversaries may execute their own malicious payloads by hijacking the way operating systems run programs. Hijacking execution flow can be for the purposes of persistence, since this hijacked execution may reoccur over...",https://attack.mitre.org/techniques/T1574
T1036.012,Browser Fingerprint,Stealth,"Adversaries may attempt to blend in with legitimate traffic by spoofing browser and system attributes like operating system, system language, platform, user-agent string, resolution, time zone, etc.  The HTTP User-Age...",https://attack.mitre.org/techniques/T1036/012
T1059.011,Lua,Execution,Adversaries may abuse Lua commands and scripts for execution. Lua is a cross-platform scripting and programming language primarily designed for embedded use in applications. Lua can be executed on the command-line (th...,https://attack.mitre.org/techniques/T1059/011
T1027.005,Indicator Removal from Tools,Stealth,"Adversaries may remove indicators from tools if they believe their malicious tool was detected, quarantined, or otherwise curtailed. They can modify the tool by removing the indicator and using the updated version tha...",https://attack.mitre.org/techniques/T1027/005
T1204.003,Malicious Image,Execution,"Adversaries may rely on a user running a malicious image to facilitate execution. Amazon Web Services (AWS) Amazon Machine Images (AMIs), Google Cloud Platform (GCP) Images, and Azure Images as well as popular contain...",https://attack.mitre.org/techniques/T1204/003
T1543.005,Container Service,Persistence|Privilege Escalation,"Adversaries may create or modify container or container cluster management tools that run as daemons, agents, or services on individual hosts. These include software for creating and managing individual containers, su...",https://attack.mitre.org/techniques/T1543/005
T1078,Valid Accounts,Stealth|Persistence|Privilege Escalation|Initial Access,"Adversaries may obtain and abuse credentials of existing accounts as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion. Compromised credentials may be used to bypass access contr...",https://attack.mitre.org/techniques/T1078
T1571,Non-Standard Port,Command And Control,"Adversaries may communicate using a protocol and port pairing that are typically not associated. For example, HTTPS over port 8088(Citation: Symantec Elfin Mar 2019) or port 587(Citation: Fortinet Agent Tesla April 20...",https://attack.mitre.org/techniques/T1571
